"","Title","Author","Year","URL","Booktitle"
"26","Wait Wait. No, Tell Me: Analyzing Selenium Configuration Effects on Test Flakiness","Presler-Marshall, Kai; Horton, Eric; Heckman, Sarah; Stolee, Kathryn T.","2019","https://doi.org/10.1109/AST.2019.000-1","Proceedings of the 14th International Workshop on Automation of Software Test"
"27","A Workflow-Inspired, Modular and Robust Approach to Experiments in Distributed Systems","Buchert, Tomasz; Nussbaum, Lucas; Gustedt, Jens","2014","https://doi.org/10.1109/CCGrid.2014.33","Proceedings of the 14th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing"
"28","Detailed Author Index","","2009","https://doi.org/10.1109/CHASE.2009.5071394","Proceedings of the 2009 ICSE Workshop on Cooperative and Human Aspects on Software Engineering"
"29","Enabling and Enhancing Collaborations between Software Development Organizations and Independent Test Agencies","Jones, James A.; Grechanik, Mark; van der Hoek, Andre","2009","https://doi.org/10.1109/CHASE.2009.5071411","Proceedings of the 2009 ICSE Workshop on Cooperative and Human Aspects on Software Engineering"
"30","A Generalized Program Verification Workflow Based on Loop Elimination and SA Form","Louren\c{c}o, Cl\'{a}udio Belo; Frade, Maria Jo\ {a}o; Pinto, Jorge Sousa","2019","https://doi.org/10.1109/FormaliSE.2019.00017","Proceedings of the 7th International Workshop on Formal Methods in Software Engineering"
"31","Utilizing BDI Features for Transactional Agent Execution","Wang, Mingzhong; Ramamohanarao, Kotagiri; Unruh, Amy","2007","https://doi.org/10.1109/IAT.2007.105","Proceedings of the 2007 IEEE/WIC/ACM International Conference on Intelligent Agent Technology"
"33","A Comparison of Three Algorithms for Computing Truck Factors","Ferreira, M\'{\i}vian; Valente, Marco Tulio; Ferreira, Kecia","2017","https://doi.org/10.1109/ICPC.2017.35","Proceedings of the 25th International Conference on Program Comprehension"
"34","Mining Historical Test Logs to Predict Bugs and Localize Faults in the Test Logs","Amar, Anunay; Rigby, Peter C.","2019","https://doi.org/10.1109/ICSE.2019.00031","Proceedings of the 41st International Conference on Software Engineering"
"35","Automatically Generating Precise Oracles from Structured Natural Language Specifications","Motwani, Manish; Brun, Yuriy","2019","https://doi.org/10.1109/ICSE.2019.00035","Proceedings of the 41st International Conference on Software Engineering"
"36","Zero-Overhead Path Prediction with Progressive Symbolic Execution","Rutledge, Richard; Park, Sunjae; Khan, Haider; Orso, Alessandro; Prvulovic, Milos; Zajic, Alenka","2019","https://doi.org/10.1109/ICSE.2019.00039","Proceedings of the 41st International Conference on Software Engineering"
"37","On Reliability of Patch Correctness Assessment","Le, Xuan-Bach D.; Bao, Lingfeng; Lo, David; Xia, Xin; Li, Shanping; Pasareanu, Corina","2019","https://doi.org/10.1109/ICSE.2019.00064","Proceedings of the 41st International Conference on Software Engineering"
"38","Fragility and Evolution of Android Test Suites","Coppola, Riccardo","2017","https://doi.org/10.1109/ICSE-C.2017.22","Proceedings of the 39th International Conference on Software Engineering Companion"
"39","When Software Development Meets the Shopfloor: The Case of Industrial Fablabs","Ionescu, Tudor B.","2019","https://doi.org/10.1109/ICSE-Companion.2019.00097","Proceedings of the 41st International Conference on Software Engineering: Companion Proceedings"
"40","Perception and Practices of Differential Testing","Gulzar, Muhammad Ali; Zhu, Yongkang; Han, Xiaofeng","2019","https://doi.org/10.1109/ICSE-SEIP.2019.00016","Proceedings of the 41st International Conference on Software Engineering: Software Engineering in Practice"
"44","Scheduling as Rule Composition","Dave, Nirav; Arvind; Pellauer, Michael","2007","https://doi.org/10.1109/MEMCOD.2007.371249","Proceedings of the 5th IEEE/ACM International Conference on Formal Methods and Models for Codesign"
"46","Removal of Redundant Elements within UML Activity Diagrams","Beckmann, Martin; Michalke, Vanessa N.; Vogelsang, Andreas; Schlutter, Aaron","2017","https://doi.org/10.1109/MODELS.2017.7","Proceedings of the ACM/IEEE 20th International Conference on Model Driven Engineering Languages and Systems"
"47","SimBA: A Discrete Event Simulator for Performance Prediction of Volunteer Computing Projects","Taufer, Michela; Kerstens, Andre; Estrada, Trilce; Flores, David; Teller, Patricia J.","2007","https://doi.org/10.1109/PADS.2007.27","Proceedings of the 21st International Workshop on Principles of Advanced and Distributed Simulation"
"48","Project Data Incorporating Qualitative Factors for Improved Software Defect Prediction","Fenton, Norman; Neil, Martin; Marsh, William; Hearty, Peter; Radlinski, Lukasz; Krause, Paul","2007","https://doi.org/10.1109/PROMISE.2007.11","Proceedings of the Third International Workshop on Predictor Models in Software Engineering"
"49","Dissecting On-Node Memory Access Performance: A Semantic Approach","Gim\'{e}nez, Alfredo; Gamblin, Todd; Rountree, Barry; Bhatele, Abhinav; Jusufi, Ilir; Bremer, Peer-Timo; Hamann, Bernd","2014","https://doi.org/10.1109/SC.2014.19","Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis"
"50","Taming Uncertainty in the Assurance Process of Self-Adaptive Systems: A Goal-Oriented Approach","Solano, Gabriela F\'{e}lix; Caldas, Ricardo Diniz; Rodrigues, Gena\'{\i}na Nunes; Vogel, Thomas; Pelliccione, Patrizio","2019","https://doi.org/10.1109/SEAMS.2019.00020","Proceedings of the 14th International Symposium on Software Engineering for Adaptive and Self-Managing Systems"
"51","Binaural Classification for Reverberant Speech Segregation Using Deep Neural Networks","Jiang, Yi; Wang, DeLiang; Liu, RunSheng; Feng, ZhenMing","2014","https://doi.org/10.1109/TASLP.2014.2361023",""
"52","State-Clustering Based Multiple Deep Neural Networks Modeling Approach for Speech Recognition","Zhou, Pan; Jiang, Hui; Dai, Li-Rong; Hu, Yu; Liu, Qing-Feng","2015","https://doi.org/10.1109/TASLP.2015.2392944",""
"53","Audio-Visual Voice Activity Detection Using Diffusion Maps","Dov, David; Talmon, Ronen; Cohen, Israel","2015","https://doi.org/10.1109/TASLP.2015.2405481",""
"54","Kernel Method for Voice Activity Detection in the Presence of Transients","Dov, David; Talmon, Ronen; Cohen, Israel; Dov, David; Talmon, Ronen; Cohen, Israel","2016","https://doi.org/10.1109/TASLP.2016.2566919",""
"55","Mispronunciation Detection in Children's Reading of Sentences","Proenca, Jorge; Lopes, Carla; Tjalve, Michael; Stolcke, Andreas; Candeias, Sara; Perdigao, Fernando","2018","https://doi.org/10.1109/TASLP.2018.2820429",""
"56","Using Max Cut to Enhance Rooted Trees Consistency","Snir, Sagi; Rao, Satish","2006","https://doi.org/10.1109/TCBB.2006.58",""
"57","A Blocking Strategy to Improve Gene Selection for Classification of Gene Expression Data","Bontempi, Gianluca","2007","https://doi.org/10.1109/TCBB.2007.1014",""
"58","A Study of Hierarchical and Flat Classification of Proteins","Zimek, Arthur; Buchwald, Fabian; Frank, Eibe; Kramer, Stefan","2010","https://doi.org/10.1109/TCBB.2008.104",""
"59","Influence of Prior Knowledge in Constraint-Based Learning of Gene Regulatory Networks","Tan, Mehmet; Alshalalfa, Mohammed; Alhajj, Reda; Polat, Faruk","2011","https://doi.org/10.1109/TCBB.2009.58",""
"60","Predicting MHC-II Binding Affinity Using Multiple Instance Regression","EL-Manzalawy, Yasser; Dobbs, Drena; Honavar, Vasant","2011","https://doi.org/10.1109/TCBB.2010.94",""
"61","Ensemble Learning with Active Example Selection for Imbalanced Biomedical Data Classification","Oh, Sangyoon; Lee, Min Su; Zhang, Byoung-Tak","2011","https://doi.org/10.1109/TCBB.2010.96",""
"62","A Sparse Regulatory Network of Copy-Number Driven Gene Expression Reveals Putative Breast Cancer Oncogenes","Yuan, Yinyin; Curtis, Christina; Caldas, Carlos; Markowetz, Florian","2012","https://doi.org/10.1109/TCBB.2011.105",""
"63","Sequence-Based Prediction of DNA-Binding Residues in Proteins with Conservation and Correlation Information","Ma, Xin; Guo, Jing; Liu, Hong-De; Xie, Jian-Ming; Sun, Xiao","2012","https://doi.org/10.1109/TCBB.2012.106",""
"64","Design and Analysis of Classifier Learning Experiments in Bioinformatics: Survey and Case Studies","Irsoy, Ozan; Yildiz, Olcay Taner; Alpaydin, Ethem","2012","https://doi.org/10.1109/TCBB.2012.117",""
"65","A Hybrid Approach to Survival Model Building Using Integration of Clinical and Molecular Information in Censored Data","Choi, Ickwon; Kattan, Michael W.; Wells, Brian J.; Yu, Changhong","2012","https://doi.org/10.1109/TCBB.2012.31",""
"66","A Comparative Assessment of Ranking Accuracies of Conventional and Machine-Learning-Based Scoring Functions for Protein-Ligand Binding Affinity Prediction","Ashtawy, Hossam M.; Mahapatra, Nihar R.","2012","https://doi.org/10.1109/TCBB.2012.36",""
"67","Reduced False Positives in PDZ Binding Prediction Using Sequence and Structural Descriptors","Hawkins, John C.; Zhu, Hongbo; Teyra, Joan; Pisabarro, M. Teresa","2012","https://doi.org/10.1109/TCBB.2012.54",""
