"","x"
"86","Proceedings of the 4th Joint Symposium on Computational Aesthetics, Non-Photorealistic Animation and Rendering, and Sketch-Based Interfaces and Modeling"
"87","Proceedings of the XV International Conference on Human Computer Interaction"
"88","Proceedings of the 9th International Conference on Ubiquitous Information Management and Communication"
"89","Proceedings of the 10th ACM Symposium on Information, Computer and Communications Security"
"90","Proceedings of the 2015 Annual Conference on Genetic and Evolutionary Computation"
"91","Proceedings of the 8th ACM International Conference on PErvasive Technologies Related to Assistive Environments"
"92","Proceedings of the 2015 British HCI Conference"
"93","Proceedings of the 6th ACM Conference on Bioinformatics, Computational Biology and Health Informatics"
"94","Proceedings of the 22nd ACM SIGSAC Conference on Computer and Communications Security"
"95","Proceedings of the 2016 Workshop on QoE-Based Analysis and Management of Data Communication Networks"
"96","Proceedings of the Scientific Workshop Proceedings of XP2016"
"97","Proceedings of the 11th Workshop in Primary and Secondary Computing Education"
"98","Proceedings of the 25th ACM International on Conference on Information and Knowledge Management"
"99","Proceedings of the 2016 ACM Workshop on Moving Target Defense"
"100","Proceedings of the 14th International Conference on Advances in Mobile Computing and Multi Media"
"101","Proceedings of the 3rd Workshop on Model-Driven Robot Software Engineering"
"102","Proceedings of the 11th International Conference on Ubiquitous Information Management and Communication"
"103","Proceedings of the 9th Workshop on Rapid Simulation and Performance Evaluation: Methods and Tools"
"104","Proceedings of the 2017 ACM on Asia Conference on Computer and Communications Security"
"105","Proceedings of the 8th ACM International Conference on Bioinformatics, Computational Biology,and Health Informatics"
"106","Proceedings of the Eleventh ACM Conference on Recommender Systems"
"107","Proceedings of the 2017 ACM on Conference on Information and Knowledge Management"
