"x"
"Proceedings of the 2009 International Conference on Models in Software Engineering"
"Proceedings of the 20th International Conference on User Modeling, Adaptation, and Personalization"
"Proceedings of the 15th International Conference on Model Driven Engineering Languages and Systems"
""
"Proceedings of the 2009 IEEE/ACM International Conference on Automated Software Engineering"
"Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering"
"Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering"
"Proceedings of the 30th IEEE/ACM International Conference on Automated Software Engineering"
"Proceedings of the 34th IEEE/ACM International Conference on Automated Software Engineering"
"Proceedings of the Second International Workshop on Automation of Software Test"
"Proceedings of the 14th International Workshop on Automation of Software Test"
"Proceedings of the 14th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing"
"Proceedings of the 2009 ICSE Workshop on Cooperative and Human Aspects on Software Engineering"
"Proceedings of the 7th International Workshop on Formal Methods in Software Engineering"
"Proceedings of the 2007 IEEE/WIC/ACM International Conference on Intelligent Agent Technology"
"ICCPS '14: ACM/IEEE 5th International Conference on Cyber-Physical Systems (with CPS Week 2014)"
"Proceedings of the 25th International Conference on Program Comprehension"
"Proceedings of the 41st International Conference on Software Engineering"
"Proceedings of the 39th International Conference on Software Engineering Companion"
"Proceedings of the 41st International Conference on Software Engineering: Companion Proceedings"
"Proceedings of the 41st International Conference on Software Engineering: Software Engineering in Practice"
"Proceedings of the 7th International Symposium on Quality Electronic Design"
"Proceedings of the 2012 27th Annual IEEE/ACM Symposium on Logic in Computer Science"
"Proceedings of the 2015 30th Annual ACM/IEEE Symposium on Logic in Computer Science (LICS)"
"Proceedings of the 5th IEEE/ACM International Conference on Formal Methods and Models for Codesign"
"Proceedings of the 51st Annual IEEE/ACM International Symposium on Microarchitecture"
"Proceedings of the ACM/IEEE 20th International Conference on Model Driven Engineering Languages and Systems"
"Proceedings of the 21st International Workshop on Principles of Advanced and Distributed Simulation"
"Proceedings of the Third International Workshop on Predictor Models in Software Engineering"
"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis"
"Proceedings of the 14th International Symposium on Software Engineering for Adaptive and Self-Managing Systems"
"Proceedings of the 2011 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology - Volume 03"
"Proceedings of the 2004 ACM SIGSOFT International Symposium on Software Testing and Analysis"
"Proceedings of the 2004 ACM SIGPLAN Symposium on Partial Evaluation and Semantics-Based Program Manipulation"
"Proceedings of the 22nd Annual International Conference on Design of Communication: The Engineering of Quality Documentation"
"Proceedings of the 5th International Conference on Computer Systems and Technologies"
"Proceedings of the 2004 OOPSLA Workshop on Eclipse Technology EXchange"
"Proceedings of the 2005 ACM SIGMOD International Conference on Management of Data"
"Proceedings of the 2005 ACM Symposium on Applied Computing"
"Proceedings of the 7th ACM SIGPLAN International Conference on Principles and Practice of Declarative Programming"
"Proceedings of the Twenty-Fourth Annual ACM Symposium on Principles of Distributed Computing"
"Proceedings of the 11th Annual International Conference on Mobile Computing and Networking"
"Proceedings of the 3rd IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis"
"Proceedings of the 1st International Workshop on Utility-Based Data Mining"
"Proceedings of the 4th International Workshop on Multi-Relational Mining"
"Companion to the 20th Annual ACM SIGPLAN Conference on Object-Oriented Programming, Systems, Languages, and Applications"
"Proceedings of the 2005 ACM Conference on Emerging Network Experiment and Technology"
"Proceedings of the 3rd International Conference on Computer Graphics and Interactive Techniques in Australasia and South East Asia"
"Proceedings of the ACM Symposium on Virtual Reality Software and Technology"
"Proceedings of the 20th IEEE/ACM International Conference on Automated Software Engineering"
"Proceedings of the 5th International Conference on Aspect-Oriented Software Development"
"Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education"
"Proceedings of the 2006 International Workshop on Software Quality"
"Proceedings of the 2006 International Workshop on Automation of Software Test"
"Proceedings of the 23rd International Conference on Machine Learning"
"Proceedings of the ISSTA 2006 Workshop on Role of Software Architecture for Testing and Analysis"
"Proceedings of the 2006 Workshop on Parallel and Distributed Systems: Testing and Debugging"
"Proceedings of the 10th International Conference on Artificial Intelligence and Law"
"Proceedings of the 2006 ACM SIGCHI International Conference on Advances in Computer Entertainment Technology"
"Proceedings of the 14th ACM SIGSOFT International Symposium on Foundations of Software Engineering"
"Proceedings of the 20th Annual International Conference on Supercomputing"
"Proceedings of the 1st ACM SIGOPS/EuroSys European Conference on Computer Systems 2006"
"Proceedings of the 3rd Workshop on Testing Aspect-Oriented Programs"
"Proceedings of the 2007 ACM Symposium on Applied Computing"
"Proceedings of the 2007 Inaugural International Conference on Distributed Event-Based Systems"
"Proceedings of the 12th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education"
"Proceedings of the 24th International Conference on Machine Learning"
"Proceedings of the 9th Annual Conference on Genetic and Evolutionary Computation"
"Proceedings of the 44th Annual Design Automation Conference"
"Proceedings of the 4th Workshop on Embedded Networked Sensors"
"Proceedings of the 5th International Symposium on Principles and Practice of Programming in Java"
"Companion to the 22nd ACM SIGPLAN Conference on Object-Oriented Programming Systems and Applications Companion"
"Proceedings of the Sixteenth ACM Conference on Conference on Information and Knowledge Management"
"Proceedings of the Twenty-Second IEEE/ACM International Conference on Automated Software Engineering"
"Proceedings of the 1st International Conference on Theory and Practice of Electronic Governance"
"Proceedings of the 2007 Conference on Diversity in Computing"
"Proceedings of the 1st ACM International Workshop on Empirical Assessment of Software Engineering Languages and Technologies: Held in Conjunction with the 22nd IEEE/ACM International Conference on Automated Software Engineering (ASE) 2007"
"Proceedings of the 2008 ACM SIGMIS CPR Conference on Computer Personnel Doctoral Consortium and Research"
"Proceedings of the 30th International Conference on Software Engineering"
"Proceedings of the 2006 ACM CoNEXT Conference"
"Proceedings of the 4th International Workshop on End-User Software Engineering"
"Proceedings of the 2nd International Workshop on Systems Development in SOA Environments"
"Proceedings of the 2008 International Symposium on Software Testing and Analysis"
"Proceedings of the 2008 International Workshop on Dynamic Analysis: Held in Conjunction with the ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA 2008)"
"Proceedings of the 14th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining"
"Proceedings of the Conference on Design, Automation and Test in Europe"
"Proceedings of the 2008 International Symposium on Database Engineering &amp; Applications"
"Proceedings of the 17th International Conference on Parallel Architectures and Compilation Techniques"
"Proceedings of the 1st ACM Workshop on Workshop on AISec"
"Proceedings of the 6th ACM Workshop on Formal Methods in Security Engineering"
"Proceedings of the 6th ACM Conference on Embedded Network Sensor Systems"
"Proceedings of the 3rd ACM International Workshop on Human-Centered Computing"
"Proceedings of the 12th International Conference on Database Theory"
"Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology"
"Proceedings of the 2009 ACM Symposium on Applied Computing"
"Proceedings of the 30th ACM SIGPLAN Conference on Programming Language Design and Implementation"
"Proceedings of the 26th Annual International Conference on Machine Learning"
"Proceedings of the 15th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining"
"Proceedings of the 47th Annual Southeast Regional Conference"
"Proceedings of the 11th Annual Conference on Genetic and Evolutionary Computation"
"Proceedings of the 11th Annual Conference Companion on Genetic and Evolutionary Computation Conference: Late Breaking Papers"
"Proceedings of the 1st ACM SIGCHI Symposium on Engineering Interactive Computing Systems"
"Proceedings of the 10th International Conference NZ Chapter of the ACM's Special Interest Group on Human-Computer Interaction"
"Proceedings of the 3rd International Conference on Principles, Systems and Applications of IP Telecommunications"
"Proceedings of the 7th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering"
"Proceedings of the 7th IEEE/ACM International Conference on Hardware/Software Codesign and System Synthesis"
"Proceedings of the ACM SIGOPS 22nd Symposium on Operating Systems Principles"
"Proceedings of the 46th Annual Design Automation Conference"
"Proceedings of the 4th Workshop on Embedded Systems Security"
"Proceedings of the 16th ACM Conference on Computer and Communications Security"
"Proceedings of the 2nd International Conference on Interaction Sciences: Information Technology, Culture and Human"
"Proceedings of the 15th ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming"
"Proceedings of the First Joint WOSP/SIPEW International Conference on Performance Engineering"
"Proceedings of the 2010 ACM Symposium on Applied Computing"
"Proceedings of the 9th ACM/IEEE International Conference on Information Processing in Sensor Networks"
"Proceedings of the 31st ACM SIGPLAN Conference on Programming Language Design and Implementation"
"Proceedings of the 5th Workshop on Automation of Software Test"
"Proceedings of the 2010 ICSE Workshop on Quantitative Stochastic Models in the Verification and Design of Software Systems"
"Proceedings of the 2010 ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems"
"Proceedings of the 9th IAPR International Workshop on Document Analysis Systems"
"Proceedings of the Intelligent Narrative Technologies III Workshop"
"Proceedings of the 19th International Symposium on Software Testing and Analysis"
"Proceedings of the 16th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining"
"Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement"
"Proceedings of the First ACM International Conference on Bioinformatics and Computational Biology"
"Proceedings of the 4th ACM International Workshop on Context-Awareness for Self-Managing Systems"
"Proceedings of the IEEE/ACM International Conference on Automated Software Engineering"
"Proceedings of the ACM International Conference Companion on Object Oriented Programming Systems Languages and Applications Companion"
"Proceedings of the FSE/SDP Workshop on Future of Software Engineering Research"
"Proceedings of the 2010 National Software Engineering Conference"
"CASCON First Decade High Impact Papers"
"Proceedings of the 16th ACM Symposium on Principles and Practice of Parallel Programming"
"Proceedings of the 6th International Conference on High Performance and Embedded Architectures and Compilers"
"Proceedings of the 2nd ACM/SPEC International Conference on Performance Engineering"
"Proceedings of the 20th International Conference on World Wide Web"
"Proceedings of the First International Conference on Intelligent Interactive Technologies and Multimedia"
"Proceedings of the 14th International Conference on Hybrid Systems: Computation and Control"
"Proceedings of the 2011 ACM Symposium on Applied Computing"
"Proceedings of the 33rd International Conference on Software Engineering"
"Proceedings of the Third Workshop on Behavioural Modelling"
"Proceedings of the Fifth ACM/IEEE International Symposium on Networks-on-Chip"
"Proceedings of the 38th Annual International Symposium on Computer Architecture"
"Proceedings of the 14th International ACM Sigsoft Symposium on Component Based Software Engineering"
"Proceedings of the 13th Annual Conference on Genetic and Evolutionary Computation"
"Proceedings of the First International Workshop on End-to-End Test Script Engineering"
"Proceedings of the Ninth International Workshop on Dynamic Analysis"
"Proceedings of the Workshop on Parallel and Distributed Systems: Testing, Analysis, and Debugging"
"Proceedings of the 17th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining"
"Proceedings of the 19th ACM SIGSOFT Symposium and the 13th European Conference on Foundations of Software Engineering"
"Proceedings of the 2011 ACM International Conference on Object Oriented Programming Systems Languages and Applications"
"Proceedings of the 20th ACM International Conference on Information and Knowledge Management"
"Proceedings of the 4th International Conference on Security of Information and Networks"
"Proceedings of the 6th Workshop on Embedded Systems Education"
"Proceedings of the Middleware 2011 Industry Track Workshop"
"Proceedings of the 9th International Conference on Principles and Practice of Programming in Java"
"Proceedings of the 4th International Symposium on Applied Sciences in Biomedical and Communication Technologies"
"Proceedings of the Seventh International Workshop on Dynamic Analysis"
"Proceedings of the 2nd ACM Conference on Bioinformatics, Computational Biology and Biomedicine"
"Proceedings of the 8th ACM SIGPLAN/SIGOPS Conference on Virtual Execution Environments"
"Proceedings of the 44th Annual IEEE/ACM International Symposium on Microarchitecture"
"Proceedings of the 33rd ACM SIGPLAN Conference on Programming Language Design and Implementation"
"Proceedings of the Fourth Workshop on Behaviour Modelling - Foundations and Applications"
"Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education"
"Proceedings of the 14th Annual Conference on Genetic and Evolutionary Computation"
"Proceedings of the 6th ACM International Conference on Distributed Event-Based Systems"
"Proceedings of the 2012 International Symposium on Software Testing and Analysis"
"Proceedings of the 2012 Workshop on Parallel and Distributed Systems: Testing, Analysis, and Debugging"
"Proceedings of the 18th Annual International Conference on Mobile Computing and Networking"
"Proceedings of the ACM SIGKDD Workshop on Mining Data Semantics"
"Proceedings of the 30th ACM International Conference on Design of Communication"
"Proceedings of the ACM Conference on Bioinformatics, Computational Biology and Biomedicine"
"Proceedings of the ACM International Conference on Object Oriented Programming Systems Languages and Applications"
"Proceedings of the 8th International Conference on Emerging Networking Experiments and Technologies"
"Proceedings of the ACM 4th Annual Workshop on Evaluation and Usability of Programming Languages and Tools"
"Proceedings of the 2013 International Conference on Intelligent User Interfaces"
"Proceedings of the 5th ACM COMPUTE Conference: Intelligent &amp; Scalable System Technologies"
"Proceeding of the 11th Annual International Conference on Mobile Systems, Applications, and Services"
"Proceedings of the 15th Annual Conference on Genetic and Evolutionary Computation"
"Proceedings of the 15th Annual Conference Companion on Genetic and Evolutionary Computation"
"Proceedings of the 27th International ACM Conference on International Conference on Supercomputing"
"Proceedings of the 16th International ACM Sigsoft Symposium on Component-Based Software Engineering"
"Proceedings of the 13th ACM/IEEE-CS Joint Conference on Digital Libraries"
"Proceedings of the 28th Annual ACM Symposium on Applied Computing"
"Proceedings of the 7th Workshop in Primary and Secondary Computing Education"
"Proceedings of the First ACM Workshop on Information Hiding and Multimedia Security"
"Proceedings of the 2013 International Symposium on Software Testing and Analysis"
"Proceedings of the 2013 International Conference on Software and System Process"
"Proceedings of the 1st ACM SIGSIM Conference on Principles of Advanced Discrete Simulation"
"Proceedings of the 2013 International Workshop on Quality Assurance for Service-Based Applications"
"Proceedings of the 17th International Software Product Line Conference"
"Proceedings of the 34th ACM SIGPLAN Conference on Programming Language Design and Implementation"
"Proceedings of the 2nd International Workshop on Big Data, Streams and Heterogeneous Source Mining: Algorithms, Systems, Programming Models and Applications"
"Proceedings of the International Conference on High Performance Computing, Networking, Storage and Analysis"
"Proceedings of the Twelfth ACM SIGPLAN Workshop on Erlang"
"Proceedings of the International Conference on Bioinformatics, Computational Biology and Biomedical Informatics"
"Proceedings of the 2013 ACM SIGPLAN International Conference on Object Oriented Programming Systems Languages &amp; Applications"
"Proceedings of the 4th Annual Symposium on Cloud Computing"
"Proceedings of the 1st International Workshop on Software Engineering for High Performance Computing in Computational Science and Engineering"
"Proceedings of the 8th Workshop in Primary and Secondary Computing Education"
"Proceedings of the 45th ACM Technical Symposium on Computer Science Education"
"Proceedings of the 29th Annual ACM Symposium on Applied Computing"
"Proceedings of the 36th International Conference on Software Engineering"
"Proceedings of the 8th Latin American Conference on Pattern Languages of Programs"
"Companion Proceedings of the 36th International Conference on Software Engineering"
